run_id,timestamp,generation,duration_sec,training_mode,speed_multiplier,collectors_total,collectors_real,collectors_injected,collectors_alive,hunters_total,hunters_alive,batteries_collected,batteries_collected_real,kills,best_collector_fitness,avg_collector_fitness,best_hunter_fitness,avg_hunter_fitness,avg_fit_battery,avg_fit_proximity,avg_fit_survival,avg_fit_hunter_penalty,avg_fit_escape,avg_fit_approach,avg_fit_death,avg_fit_idle,collector_sees_hunter_frames,collector_danger_frames,collector_escape_events,collector_approach_events,collector_neutral_events,escape_ratio,approach_ratio,avg_nearest_hunter_dist
20260510_155730,2026-05-10 15:57:38,0,7.7581,1,500,50,50,0,3,10,10,153,153,29,2911.544365,-5412.127936,1873.252482,1473.462006,306.000000,49.471781,543.145619,-6.403531,192.085619,-409.757805,-5800.000000,-94.584000,2402,13405,6135,7126,0,0.462635,0.537365,138.098803
20260510_155730,2026-05-10 15:57:42,1,3.6403,1,500,51,50,1,2,10,10,134,132,18,3206.520688,-3158.852427,2089.515366,1494.631947,264.000000,54.243428,562.119341,-4.891758,165.089341,-334.911437,-3600.000000,-99.412000,3121,11241,4958,6147,0,0.446466,0.553534,139.510520
20260510_155730,2026-05-10 15:57:46,2,4.1892,1,500,52,50,2,1,10,10,211,204,22,2335.613323,-3661.886461,1863.147376,1496.141983,408.000000,62.450491,677.336775,-6.021999,237.646775,-496.315728,-4200.000000,-107.336000,3754,15072,7278,7579,0,0.489870,0.510130,141.377377
20260510_155730,2026-05-10 15:57:50,3,3.7659,1,500,53,50,3,1,10,10,195,194,26,2907.598744,-4295.947404,2857.570797,1547.801458,388.000000,55.007780,556.208224,-3.899049,169.078224,-404.976358,-4800.000000,-86.288000,2296,10150,4325,5674,0,0.432543,0.567457,148.891581
20260510_155730,2026-05-10 15:57:53,4,3.1563,1,500,54,50,4,0,10,10,92,87,27,1880.146460,-4591.540894,2855.263039,1687.076505,174.000000,40.268143,461.296199,-4.194991,150.066199,-390.310245,-4800.000000,-72.600000,1684,9834,4159,5553,0,0.428233,0.571767,140.602274
20260510_155730,2026-05-10 15:57:57,5,3.5881,1,500,55,50,5,0,10,10,126,117,30,817.394358,-5353.501775,3237.310923,1710.203801,234.000000,45.603489,485.901420,-5.028327,170.121420,-415.298357,-5600.000000,-98.680000,2844,12648,5640,6858,0,0.451272,0.548728,141.592289
20260510_155730,2026-05-10 15:58:00,6,3.7534,1,500,55,50,5,1,10,10,122,116,29,2989.802646,-4526.598952,2668.530179,1760.628027,232.000000,47.340882,648.598681,-5.601956,289.298681,-559.240559,-4800.000000,-89.696000,3855,13170,5982,6971,0,0.461824,0.538176,137.639189
20260510_155730,2026-05-10 15:58:04,7,3.7780,1,500,55,50,5,1,10,10,157,141,29,3111.433302,-4831.744007,2460.567219,1795.414231,282.000000,49.829951,574.742962,-4.831523,219.232962,-455.661397,-5200.000000,-77.824000,3138,10420,4744,5515,0,0.462423,0.537577,131.266169
20260510_155730,2026-05-10 15:58:08,8,3.4242,1,500,55,50,5,1,10,10,136,125,28,3529.715679,-4484.622364,2476.900202,1790.018970,250.000000,45.319778,515.887926,-4.655896,198.397926,-425.122172,-4800.000000,-66.052000,2672,10601,4701,5750,0,0.449813,0.550187,131.946772
20260510_155730,2026-05-10 15:58:11,9,3.5760,1,500,55,50,5,0,10,10,167,123,34,2058.356907,-5996.202237,3061.006897,1926.165207,246.000000,43.540432,581.020809,-5.708300,264.320809,-586.615177,-6200.000000,-74.440000,3062,13128,5646,7251,0,0.437776,0.562224,135.918123
20260510_155730,2026-05-10 15:58:15,10,3.1783,1,500,55,50,5,0,10,10,105,89,29,2154.695094,-4790.972064,2659.534190,1836.817100,178.000000,39.763715,445.558581,-4.312457,174.038581,-390.637903,-5000.000000,-59.344000,2597,9720,4409,5163,0,0.460614,0.539386,132.647664
20260510_155730,2026-05-10 15:58:18,11,3.2563,1,500,55,50,5,0,10,10,148,131,33,2211.066889,-5315.952028,2886.928153,1872.704031,262.000000,46.241430,522.881958,-4.992259,206.581958,-468.811156,-5600.000000,-73.272000,2581,10014,4383,5476,0,0.444568,0.555432,129.007097
20260510_155730,2026-05-10 15:58:21,12,3.4327,1,500,55,50,5,1,10,10,181,165,35,2419.491030,-5813.248867,3280.584048,1954.149620,330.000000,48.757578,498.830874,-3.673716,152.070874,-407.571602,-6200.000000,-79.592000,2405,8335,3459,4720,0,0.422912,0.577088,132.142555
20260510_155730,2026-05-10 15:58:25,13,3.1797,1,500,55,50,5,0,10,10,123,109,35,862.417331,-5957.258695,2266.305902,1955.880126,218.000000,38.700117,455.393192,-3.843402,186.003192,-399.044602,-6200.000000,-66.464000,2259,8215,3690,4378,0,0.457362,0.542638,133.956110
20260510_155730,2026-05-10 15:58:28,14,3.3391,1,500,55,50,5,0,10,10,123,113,33,1577.919443,-5759.686621,2867.504993,1905.778657,226.000000,40.334274,452.859690,-4.273317,161.579690,-400.287268,-6000.000000,-74.320000,2363,9914,4025,5746,0,0.411933,0.588067,136.040446
20260510_155730,2026-05-10 15:58:31,15,3.4568,1,500,55,50,5,2,10,10,131,115,27,3043.054908,-4696.669863,2435.504566,1739.048877,230.000000,42.550491,464.225830,-3.685113,151.195830,-355.621071,-5000.000000,-74.140000,2363,8247,3693,4398,0,0.456433,0.543567,133.389543
20260510_155730,2026-05-10 15:58:35,16,3.4638,1,500,55,50,5,1,10,10,158,127,31,2434.673126,-5301.669912,2478.076381,1767.673572,254.000000,44.821827,519.868202,-5.688449,207.738202,-440.983492,-5600.000000,-73.688000,3432,12224,5589,6488,0,0.462780,0.537220,128.430752
20260510_155730,2026-05-10 15:58:38,17,3.3645,1,500,55,50,5,0,10,10,119,113,38,2313.336877,-6617.958766,3686.521029,2006.870084,226.000000,43.053887,527.409319,-5.426464,222.029319,-532.247508,-6800.000000,-76.748000,3201,12022,5230,6614,0,0.441574,0.558426,133.321908
20260510_155730,2026-05-10 15:58:42,18,3.2901,1,500,55,50,5,0,10,10,73,52,26,1297.713561,-4246.859864,2464.442909,1716.645196,104.000000,37.365767,404.606968,-3.810064,128.046968,-310.742535,-4400.000000,-78.280000,1884,8167,3593,4460,0,0.446169,0.553831,132.538591
20260510_155730,2026-05-10 15:58:45,19,3.3912,1,500,55,50,5,0,10,10,110,94,30,971.930372,-4984.790745,2271.249529,1814.819307,188.000000,42.019287,478.974446,-4.525935,184.814446,-420.102543,-5200.000000,-69.156000,2744,10143,4426,5560,0,0.443221,0.556779,132.492763
20260510_155730,2026-05-10 15:58:49,20,3.4402,1,500,55,50,5,0,10,10,81,55,23,1006.311874,-3598.400232,2667.176349,1636.657670,110.000000,43.409842,477.664919,-4.383337,186.184919,-361.447656,-3800.000000,-63.644000,2172,10310,4768,5395,0,0.469153,0.530847,138.972167
20260510_155730,2026-05-10 15:58:53,21,3.8479,1,500,55,50,5,1,10,10,179,151,34,3632.386642,-6004.074821,2874.059936,1941.294921,302.000000,55.601498,605.914232,-5.684246,232.944232,-524.422305,-6400.000000,-37.484000,3078,11661,5255,6240,0,0.457155,0.542845,130.613313
20260510_155730,2026-05-10 15:58:56,22,3.6460,1,500,55,50,5,0,10,10,103,76,21,2497.339774,-3744.479767,2071.574673,1685.995740,152.000000,48.578618,543.919715,-5.193085,215.949715,-435.557015,-4000.000000,-48.228000,3612,11850,5496,6175,0,0.470911,0.529089,135.093017
20260510_155730,2026-05-10 15:59:00,23,3.3542,1,500,55,50,5,0,10,10,94,84,27,1159.877535,-4295.621116,2668.645008,1739.213840,168.000000,44.323740,484.847168,-4.168215,172.907168,-354.083808,-4600.000000,-34.540000,2527,9268,4391,4738,0,0.480995,0.519005,135.986305
20260510_155730,2026-05-10 15:59:03,24,2.8981,1,500,55,50,5,0,10,10,142,124,42,725.011453,-7172.994514,2866.985318,1973.947875,248.000000,34.291879,438.979864,-5.484630,200.209864,-468.225627,-7400.000000,-20.556000,3503,12267,5244,6866,0,0.433031,0.566969,137.246613
20260510_155730,2026-05-10 15:59:44,25,41.1982,0,1,55,50,5,1,10,10,135,93,22,1593.427820,-3595.610945,2623.296417,1580.746865,186.000000,49.036748,428.631611,-2.487163,81.081611,-214.940141,-4000.000000,-41.852000,1838,6235,2599,3534,0,0.423773,0.576227,137.243832
20260510_160855,2026-05-10 16:09:37,0,41.6425,0,1,50,50,0,0,10,10,162,162,24,1297.531563,-4767.846141,2842.145208,1443.086858,324.000000,48.915900,341.900000,-8.779254,173.984041,-764.434828,-4800.000000,-83.432000,3031,8980,3976,4860,0,0.449977,0.550023,132.958067
20260510_160855,2026-05-10 16:09:46,1,8.8404,1,500,50,50,0,1,10,10,120,120,23,1858.556579,-4633.238783,2248.402838,1424.560382,240.000000,50.485765,351.520000,-10.466734,212.774726,-785.748541,-4600.000000,-91.804000,3801,12967,6289,6466,0,0.493062,0.506938,142.508436
20260510_160855,2026-05-10 16:09:50,2,4.6065,1,500,50,50,0,1,10,10,137,137,20,2173.794507,-3869.349952,2078.192537,1541.238890,274.000000,55.002538,372.130000,-6.913788,146.289219,-616.365921,-4000.000000,-93.492000,3118,7813,3544,4137,19,0.460260,0.537273,137.891528
20260510_160855,2026-05-10 16:09:55,3,4.8246,1,500,50,50,0,0,10,10,122,122,16,1242.695544,-3266.471241,1746.914490,1420.337947,244.000000,54.697087,372.490000,-13.112055,265.789246,-912.783518,-3200.000000,-77.552000,4434,13859,6956,6743,0,0.507774,0.492226,134.688905
20260510_160855,2026-05-10 16:09:59,4,4.0057,1,500,50,50,0,0,10,10,118,118,29,1242.119902,-5880.526482,2468.716006,1635.606839,236.000000,42.232497,286.790000,-10.151379,170.437524,-753.063125,-5800.000000,-52.772000,3938,10054,4466,5437,18,0.450156,0.548029,129.022528
20260510_160855,2026-05-10 16:10:04,5,4.4058,1,500,50,50,0,0,10,10,153,153,27,1620.837708,-5346.289046,2583.394245,1662.107412,306.000000,46.541945,328.040000,-7.275205,156.675679,-733.331465,-5400.000000,-42.940000,2843,8206,3507,4565,0,0.434465,0.565535,136.334481
20260510_160855,2026-05-10 16:10:08,6,4.4451,1,500,50,50,0,2,10,10,124,124,29,2816.240346,-5715.511586,3136.787238,1595.800971,248.000000,50.054867,346.960000,-8.934120,125.180097,-626.964431,-5800.000000,-49.808000,2965,9244,3923,5205,0,0.429777,0.570223,129.540931
20260510_160855,2026-05-10 16:10:14,7,5.1455,1,500,50,50,0,1,10,10,157,157,23,1695.396120,-4620.099650,2012.916631,1429.759563,314.000000,59.566285,417.950000,-13.189596,232.838972,-952.925310,-4600.000000,-78.340000,5322,13730,6160,7416,0,0.453742,0.546258,133.080535
20260510_160855,2026-05-10 16:10:18,8,4.7860,1,500,50,50,0,2,10,10,182,182,26,3602.534143,-5105.871203,2467.707687,1554.584484,364.000000,52.700461,372.990000,-10.213647,182.671783,-804.407801,-5200.000000,-63.612000,3409,10850,4768,5930,6,0.445441,0.553999,135.114714
20260510_160855,2026-05-10 16:10:24,9,5.2390,1,500,50,50,0,1,10,10,230,230,31,2818.495413,-6012.533561,2363.044023,1710.365102,460.000000,58.351281,421.450000,-8.805591,200.163661,-871.028912,-6200.000000,-72.664000,3998,10335,4379,5784,0,0.430877,0.569123,141.475628
20260510_160855,2026-05-10 16:10:29,10,5.3174,1,500,50,50,0,5,10,10,293,293,19,3102.174103,-3435.165957,1882.461905,1451.616498,586.000000,62.645015,438.880000,-9.923006,256.235763,-884.143729,-3800.000000,-84.860000,4786,12096,5778,6123,2,0.485424,0.514408,141.989851
20260510_160855,2026-05-10 16:10:34,11,4.7336,1,500,50,50,0,1,10,10,245,245,30,1779.938927,-5864.860705,2026.635625,1745.717218,490.000000,51.655693,376.780000,-10.839883,264.240060,-986.752576,-6000.000000,-49.944000,3898,12138,5371,6585,1,0.449193,0.550723,136.391210
20260510_160855,2026-05-10 16:10:40,12,5.5432,1,500,50,50,0,5,10,10,341,341,25,5098.227320,-4477.894141,2261.275780,1636.886448,682.000000,64.125620,458.960000,-8.841857,202.187259,-789.753164,-5000.000000,-86.572000,4339,10123,4450,5497,10,0.446922,0.552074,138.457520
20260510_160855,2026-05-10 16:10:46,13,6.2273,1,500,50,50,0,6,10,10,373,373,17,3472.655172,-2507.612270,1806.679216,1508.102768,746.000000,75.880368,556.360000,-5.339520,128.498427,-507.615545,-3400.000000,-101.396000,3189,5858,2541,3203,0,0.442375,0.557625,134.962864
20260510_160855,2026-05-10 16:10:51,14,5.1437,1,500,50,50,0,3,10,10,282,282,33,3263.029760,-6391.894574,2188.141222,1837.507400,564.000000,56.709798,412.050000,-9.202281,211.155127,-970.435218,-6600.000000,-56.172000,3906,9852,4217,5443,4,0.436362,0.563224,134.779738
20260510_160855,2026-05-10 16:10:57,15,5.6552,1,500,50,50,0,3,10,10,285,285,29,2886.971846,-5626.142873,3284.407993,1668.443417,570.000000,64.758299,475.080000,-14.123259,311.214205,-1151.760117,-5800.000000,-81.312000,4918,15538,7150,8174,0,0.466588,0.533412,138.320159
